"logFC" "AveExpr" "t" "P.Value" "adj.P.Val" "B"
"218057_x_at" -2.22476894660851 8.93209680384356 -7.5924265304287 1.79551725505762e-07 0.00230033526744448 7.15737996229127
"218680_x_at" -2.55292493416503 9.25705996161129 -7.23720087220305 3.77737708959944e-07 0.00230033526744448 6.49966520873811
"218306_s_at" 2.46790634600967 9.79114190989662 6.95973515154152 6.83253296714882e-07 0.00253680561515291 5.97176724766456
"218333_at" -2.94151233396564 8.89393067825059 -6.4432728773621 2.11526230904453e-06 0.0038291649579933 4.95681713129721
"222244_s_at" -2.14090767302332 8.66717857116986 -6.36497074502543 2.51806517946479e-06 0.0038291649579933 4.79936819294283
"212596_s_at" -2.0828813162982 9.43525589925253 -6.32548544867858 2.75021947874008e-06 0.0038291649579933 4.71962531705894
"202230_s_at" 3.19570517232288 9.12166048866936 6.2693904434788 3.11833538028924e-06 0.0039494102662839 4.605942813385
"209336_at" -2.82087502158938 8.90280117913282 -6.06794231543773 4.91144910705746e-06 0.00445088662811959 4.19393308519625
"207769_s_at" -4.08998759183814 7.22262903683734 -6.03042818206855 5.34786685088753e-06 0.00445088662811959 4.11657260289836
"204516_at" 3.78044250449829 9.32416976995336 5.90157679098672 7.17307171949437e-06 0.0044722690959399 3.84938542852844
"219219_at" -2.553127968464 8.34141032730228 -5.89828512550781 7.2272607377042e-06 0.0044722690959399 3.84253036059667
"221287_at" 2.16523386870431 9.01535480031491 5.79469315283633 9.16445607997336e-06 0.00523478431009145 3.62606234598474
"211540_s_at" 2.35627988858412 8.7803196375363 5.56333972151273 1.5640383075216e-05 0.00725876695347054 3.13769058071956
"203978_at" -2.21564687969867 9.19371972934758 -5.54227958281744 1.64247320307574e-05 0.00733454451090717 3.09291095996885
"201346_at" -2.8658402850831 8.03383955239014 -5.39772649289761 2.30074151242976e-05 0.00852849973490926 2.78418152725059
"212066_s_at" 2.41023067260461 9.81931410300851 5.37425034189023 2.43063646022021e-05 0.00859480768640088 2.73382384493958
"218004_at" -2.03818201786386 9.73895696367449 -5.30966637760643 2.82781213455638e-05 0.00940226431664364 2.59498617352974
"211373_s_at" -3.66122348158215 7.62462460211616 -5.25021864904459 3.25158348835258e-05 0.0102149969198706 2.46681109372809
"219399_at" 2.42301607253489 8.85183635482851 5.2496850138047 3.25566629847293e-05 0.0102149969198706 2.46565892420454
"200623_s_at" -3.52595529204078 7.71143936715549 -5.24220245968004 3.31346614046558e-05 0.0102519562793266 2.44950042224977
"217980_s_at" -2.66739332722819 8.62145563223704 -5.0009522060103 5.85780563450901e-05 0.0151737600139485 1.92575251530053
"202384_s_at" -2.06466711573386 9.88352506619141 -4.92922543438752 6.9448403631459e-05 0.0169895571947222 1.76909266930073
"218575_at" -2.65100945561729 9.28836419172469 -4.91361794809966 7.20722478354999e-05 0.0169895571947222 1.73495299449755
"203270_at" -2.03929678249062 9.49634996130789 -4.90520781785265 7.35274497431623e-05 0.0169895571947222 1.71654946943691
"217780_at" -2.01335764895387 9.09846149515126 -4.89551752895178 7.52410390307163e-05 0.0169895571947222 1.6953383937497
"200593_s_at" 3.13173424197863 9.58650714084007 4.85535521176163 8.27845471750203e-05 0.017398031673754 1.6073576892722
"205603_s_at" -2.21767147400881 8.8414257371193 -4.84865237994053 8.4115983719226e-05 0.0175126333580673 1.59266366162761
"212766_s_at" -2.80679688439406 7.9304531756338 -4.79922898719262 9.46250346301149e-05 0.0184908938285533 1.48422755380018
"202521_at" 2.17639883661329 9.73945943546962 4.76239630549705 0.000103311040404107 0.0192506291439932 1.40331792779555
"203073_at" -2.0673578852015 9.50136903564809 -4.74605739450709 0.000107417676706556 0.0193126271541863 1.36740126550878
"202417_at" -2.36482197730163 9.65618328413826 -4.71191824359653 0.000116537747687109 0.0201248946141529 1.29230794070585
"205345_at" -2.54376791902797 8.54231150563088 -4.56182013158553 0.00016685320439663 0.0239561995318524 0.961480184586239
"215737_x_at" -3.53046131049932 7.70835731917865 -4.56044976743864 0.000167401501549001 0.0239561995318524 0.958455476152891
"211928_at" 3.29615564975689 9.26867947082351 4.53584156465674 0.000177561868121819 0.024722160850936 0.904128316132005
"200966_x_at" -2.26310991209338 8.94159864154384 -4.5200916340342 0.00018438802210638 0.0253644311337782 0.869346801936118
"205340_at" -2.03372827986563 9.29935394368064 -4.50581081789849 0.000190805281569692 0.0260771120093745 0.837802906121615
"207216_at" 2.24612197055158 8.36166439262769 4.48852870786527 0.000198872190432416 0.0268501562803813 0.799621629570602
"221598_s_at" -3.78804142097056 8.39089352044927 -4.43479535134861 0.000226209331693226 0.0287090886590535 0.680859127191361
"209050_s_at" -2.53399767289231 8.44125685461669 -4.43476162238547 0.000226227625948256 0.0287090886590535 0.68078455779359
"214527_s_at" -3.02828990812942 8.07510159648525 -4.40501325646793 0.000242955162796898 0.0293299976136703 0.615006901857393
"205042_at" -2.11009862596557 9.12037822561334 -4.40448667103893 0.000243262181992912 0.0293299976136703 0.613842403378949
"205690_s_at" -2.01127651539982 8.72633684618895 -4.38538251174147 0.000254667816870947 0.0297028008190266 0.571592128274126
"206700_s_at" 2.76313622773382 8.8913913829956 4.38067458950755 0.000257559995755823 0.0298836667992316 0.561179347986724
