"logFC" "AveExpr" "t" "P.Value" "adj.P.Val" "B"
"208154_at" -2.33053168317505 8.82614732186521 -4.00938226971466 0.000464154371178226 0.673423380482428 -3.38418610071471
"215786_at" -2.42245227208169 9.36898403301622 -3.86291719932142 0.00067825572858578 0.673423380482428 -3.44876358290511
"211985_s_at" 2.69372746297001 9.03349161317724 3.68559757300371 0.00107007618140118 0.673423380482428 -3.52805584789581
"213530_at" -2.34771404223825 6.38402831757823 -3.65063936073594 0.0011701472685486 0.673423380482428 -3.54381329952145
"218057_x_at" -2.31672501462145 8.48660913839871 -3.52773853233648 0.001599926918266 0.673423380482428 -3.59948795923816
"205767_at" 2.05684853554843 8.68275291255341 3.49106145709017 0.00175564795690859 0.673423380482428 -3.61617689930243
"200945_s_at" 2.33353665449921 8.9583702527613 3.42916258877421 0.00205248554617913 0.673423380482428 -3.64440766287755
"211936_at" 2.5437041281686 7.4269708608126 3.38042338758688 0.00231997114013133 0.673423380482428 -3.66668692690785
"212238_at" -2.08711411383845 8.86039328984729 -3.30074741696889 0.00283150223511187 0.673423380482428 -3.70318441694254
"211959_at" 2.14761702969757 8.64315441259056 3.28090487981312 0.00297494464614879 0.673423380482428 -3.71228561527322
"216263_s_at" -2.26490799100665 8.15830672242024 -3.23307213338701 0.00335014515333457 0.673423380482428 -3.73423956161795
"202880_s_at" 2.45122757531257 8.68201583178988 3.07683521379352 0.00491991495856881 0.673423380482428 -3.80601196088802
"220980_s_at" 2.01523642709462 8.15974655617296 3.00641124944887 0.00583876564452852 0.673423380482428 -3.83834487035068
"216396_s_at" -2.14068517674069 8.18458370621571 -2.97045693048972 0.00636890209752854 0.673423380482428 -3.85483552748074
"210306_at" -2.02618635006427 8.05766577512955 -2.95388289059964 0.00662843839460262 0.673423380482428 -3.86243217256351
"218056_at" -2.13685697338005 9.20661050520084 -2.92973301019264 0.00702468384451597 0.673423380482428 -3.87349440083498
"218362_s_at" -2.01096624672801 7.74064240858421 -2.91577016777501 0.00726394944768329 0.673423380482428 -3.87988625270361
"205122_at" 2.11502580118381 8.52577379101242 2.8915652904858 0.00769716063950067 0.673423380482428 -3.89095887739473
"221876_at" -2.01587823786167 7.70719428133513 -2.73107722481371 0.0112507188813314 0.673423380482428 -3.9640449323831
"202532_s_at" -2.07154994781716 8.30905927989483 -2.65848263522989 0.0133217853641483 0.673423380482428 -3.99685470592621
"218214_at" -2.03155140573705 8.2373075896411 -2.46168626599223 0.0208648196646049 0.673423380482428 -4.08467696455851
"202452_at" -2.38208576896786 9.72978100179752 -2.44698852237395 0.0215632235634987 0.673423380482428 -4.09115641311817
"206011_at" 2.01832717254713 9.8473698374971 2.30762780853566 0.0293373179068243 0.673423380482428 -4.15192100981085
"201731_s_at" 2.11287176103518 9.52852295390144 2.24422999566339 0.0336572513627169 0.673423380482428 -4.1791144461619
