"logFC" "AveExpr" "t" "P.Value" "adj.P.Val" "B"
"206811_at" 2.06712072647378 8.7527811375169 5.13306697510607 8.19289700975893e-06 0.023126612074022 3.50285345567876
"214014_at" 2.13835012651415 9.05631709541375 4.86975117769136 1.88151279559794e-05 0.0251209353905018 2.76440843232437
"214430_at" 2.00786867230675 8.74793379764814 4.83059947760757 2.12777152587534e-05 0.0251209353905018 2.65511944588992
"209850_s_at" 2.01744604757359 8.6312347161906 4.65697115036768 3.66284602281001e-05 0.0253224672719059 2.17245849481184
"216658_at" 2.46678934271455 7.34424225065318 4.57663780013453 4.70272187322575e-05 0.0261906337924625 1.95040474078919
"208052_x_at" 2.10704619527857 9.07052923770365 4.55623941460501 5.01003059965677e-05 0.0264437485706913 1.89416214765478
"207291_at" 2.35083864594739 9.10658068570968 4.3778064184104 8.69066437124302e-05 0.0319977809026012 1.40489985433114
"36829_at" -2.20475505602914 8.76975278686563 -4.36956665087743 8.91335729675289e-05 0.0320262678225426 1.38243298293117
"204158_s_at" 2.27221341664247 8.50055445177335 4.33286946568682 9.97501153365445e-05 0.0326784311669442 1.28251908046816
"220659_s_at" 2.34394287121704 8.39623749138723 4.32290355588852 0.000102841095150855 0.0327284439525085 1.25542724092792
"210242_x_at" 2.1534124349443 8.79743401058776 4.26968954311058 0.000121002139853789 0.0354679561779324 1.11108043968087
"203841_x_at" 2.09560515516703 9.86262048385345 4.25849954975164 0.000125202716177916 0.036123233420361 1.08079542884052
"217552_x_at" 2.18638870073023 7.78393078689973 4.25098752830843 0.000128102322584213 0.036123233420361 1.0604782964896
"202861_at" -2.16062869586228 9.15817813310374 -4.16659389754398 0.000165545476674511 0.0388195429881904 0.833005060451411
"207366_at" 2.26427562383966 7.93600658669507 4.14147029091035 0.000178624912456616 0.0410229605649077 0.765573391006325
"212732_at" 2.16079205451518 8.62538679013693 4.10806656020625 0.000197586639987106 0.0419203578951692 0.676129702266028
"203836_s_at" -2.37537644803533 9.36917750723762 -3.98257657909677 0.000287983497318192 0.0510117284728664 0.342385033973496
"221684_s_at" 2.04146511054336 8.21570317691699 3.97283197066933 0.000296485828730017 0.0511774762465273 0.316626244694882
"214618_at" 2.23117190371236 9.2300962937796 3.97165674472937 0.000297527579655305 0.0511774762465273 0.313521253333241
"214303_x_at" 2.39578575741152 8.16073286334366 3.95772909691102 0.000310147629030365 0.0515935748480318 0.276750074714831
"219830_at" 2.37060289887789 8.63524040500579 3.95705871730131 0.000310768016410391 0.0515935748480318 0.274981390818128
"219478_at" 2.13219667396328 8.06110664927797 3.94092557691095 0.00032606709455932 0.0516688878799166 0.232450977383741
"208110_x_at" 2.27192816007548 8.24866403111247 3.89372132235836 0.000375152485691366 0.0549679491779207 0.108393468335513
"215036_at" 2.4293744729038 7.61158527247078 3.85644574895191 0.000418910707070565 0.0575944033947195 0.0108433100263277
"220536_at" 2.29751909021007 7.34511403853007 3.83271071315855 0.0004493105163775 0.0602969299598889 -0.0510758209620503
"218623_at" 2.09109464181603 9.01565800119368 3.79747706209947 0.000498412446482736 0.0636059490182725 -0.142705060425183
"201742_x_at" 2.52009971780215 9.41228698026965 3.79435223385645 0.000503009819129728 0.0636059490182725 -0.150814731570043
"208493_at" 2.29168588540696 8.45853901285238 3.77296420324705 0.000535596768223878 0.0659198298658748 -0.206247163490719
"208301_at" 2.02403265467911 8.93596970764667 3.75684955639679 0.000561488717862732 0.0668990305477724 -0.247925497325712
"214667_s_at" 2.01618408906563 8.79605879344794 3.75679945798879 0.000561571069373499 0.0668990305477724 -0.248054952667241
"217793_at" 2.46483120557546 7.6237135905163 3.72534718929176 0.000615643774837728 0.0689180722214074 -0.329183094114718
"202134_s_at" 2.19858992483953 7.52895701321267 3.70277801110787 0.00065750904841807 0.0711035391825697 -0.387217243901466
"208917_x_at" -2.19200069487679 9.49354128957522 -3.5632454685286 0.000984173299879598 0.0844990342911544 -0.742502481848395
"221413_at" 2.12045252632258 8.34597137870078 3.54212134683059 0.00104558977526201 0.0858803437170303 -0.795741871085902
"205082_s_at" 2.16409657168588 8.0114191361159 3.52431434523646 0.00110020669043961 0.0872217239961681 -0.840504771362701
